Departure,Airport Name,City Name,Country Name,Lat,Long
KPUW,Pullman Moscow Regional Airport,Pullman/Moscow,USA,46.744,-117.110
KRDU,Raleigh Durham International Airport,Raleigh-Durham,USA,35.877,-78.787
KRDG,Reading Regional Carl A Spaatz Field,Reading,USA,40.379,-75.965
KRNO,Reno Tahoe International Airport,Reno,USA,39.498,-119.768
KRPD,Rice Lake Regional Airport - Carl'S Field,Rice Lake,USA,45.419,-91.773
KFCI,Chesterfield County Airport,Richmond,USA,37.407,-77.525
KRIC,Richmond International Airport,Richmond,USA,37.505,-77.319
KOFP,Hanover County Municipal Airport,Richmond/Ashland,USA,37.709,-77.437
KROA,Roanoke�Blacksburg Regional Airport,Roanoke,USA,37.326,-79.975
KROC,Greater Rochester International Airport,Rochester,USA,43.119,-77.672
KRKD,Knox County Regional Airport,Rockland,USA,44.060,-69.099
KRKP,Aransas County Airport,Rockport,USA,28.087,-97.045
KROG,Rogers Municipal Airport-Carter Field,Rogers,USA,36.372,-94.107
7S0,Ronan Airport,"Ronan, Montana",USA,47.569,-114.104
KMCC,Mc Clellan Airfield,Sacramento,USA,38.667,-121.401
KSLC,Salt Lake City International Airport,Salt Lake City,USA,40.788,-111.978
KSJT,San Angelo Regional Mathis Field,San Angelo,USA,31.358,-100.496
KSAT,San Antonio International Airport,San Antonio,USA,29.534,-98.470
KSAN,San Diego International Airport,San Diego,USA,32.733,-117.189
KSFO,San Francisco International Airport,San Francisco,USA,37.619,-122.375
KSJC,Norman Y. Mineta San Jose International Airport,San Jose,USA,37.362,-121.929
MMSD,Los Cabos International Airport,San Jose Del Cabo,MEXICO,23.152,-109.721
KSFM,Sanford Seacoast Regional Airport,Sanford,USA,43.394,-70.708
KSNA,John Wayne Airport-Orange County Airport,Santa Ana,USA,33.676,-117.868
KSBA,Santa Barbara Municipal Airport,Santa Barbara,USA,34.426,-119.840
KSAF,Santa Fe Municipal Airport,Santa Fe,USA,35.617,-106.088
KSMX,Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria,USA,34.899,-120.457
KSLK,Adirondack Regional Airport,Saranac Lake,USA,44.385,-74.206
KSRQ,Sarasota Bradenton International Airport,Sarasota/Bradenton,USA,27.395,-82.554
5B2,Saratoga County Airport,"Saratoga Springs, New York",USA,43.045,-73.862
KCIU,Chippewa County International Airport,Sault Ste Marie,USA,46.251,-84.472
KSAV,Savannah Hilton Head International Airport,Savannah,USA,32.127,-81.202
KSDL,Scottsdale Airport,Scottsdale,USA,33.623,-111.911
KBFI,Boeing Field King County International Airport,Seattle,USA,47.530,-122.302
KSEA,Seattle Tacoma International Airport,Seattle,USA,47.449,-122.309
KSBM,Sheboygan County Memorial Airport,Sheboygan,USA,43.770,-87.851
KSUX,Sioux Gateway Airport/Brigadier General Bud Day Field,Sioux City,USA,42.402,-96.384
KSBN,South Bend Regional Airport,South Bend,USA,41.709,-86.317
KSGF,Springfield Branson National Airport,Springfield,USA,37.246,-93.389
KSGJ,Northeast Florida Regional Airport,St Augustine,USA,29.959,-81.340
KSSI,St Simons Island Airport,St Simons Island,USA,31.152,-81.391
KPIE,St Petersburg Clearwater International Airport,St. Petersburg,USA,27.911,-82.687
KSVH,Statesville Regional Airport,Statesville,USA,35.765,-80.954
KBDR,Igor I Sikorsky Memorial Airport,Stratford,USA,41.163,-73.126
KSYR,Syracuse Hancock International Airport,Syracuse,USA,43.111,-76.106
KTLH,Tallahassee Regional Airport,Tallahassee,USA,30.396,-84.350
KTPA,Tampa International Airport,Tampa,USA,27.975,-82.533
KSKX,Taos Regional Airport,Taos,USA,36.458,-105.672
KTEX,Telluride Regional Airport,Telluride,USA,37.954,-107.908
KTEB,Teterboro Airport,Teterboro,USA,40.850,-74.061
KTOL,Toledo Express Airport,Toledo,USA,41.587,-83.808
CYYZ,Lester B. Pearson International Airport,Toronto,CANADA,43.677,-79.631
KTVC,Cherry Capital Airport,Traverse City,USA,44.741,-85.582
MYAT,Treasure Cay Airport,Treasure Cay,BAHAMAS,26.745,-77.391
KTTN,Trenton Mercer Airport,Trenton,USA,40.277,-74.813
KTRK,Truckee Tahoe Airport,Truckee,USA,39.320,-120.140
KTUS,Tucson International Airport / Morris Air National Guard Base,Tucson,USA,32.116,-110.941
KTYR,Tyler Pounds Regional Airport,Tyler,USA,32.354,-95.402
KVPZ,Porter County Municipal Airport,Valparaiso,USA,41.454,-87.007
KVNY,Van Nuys Airport,Van Nuys,USA,34.210,-118.490
KVRB,Vero Beach Regional Airport,Vero Beach,USA,27.656,-80.418
KIAD,Washington Dulles International Airport,Washington,USA,38.944,-77.456
KART,Watertown International Airport,Watertown,USA,43.992,-76.022
KRYV,Watertown Municipal Airport,Watertown,USA,43.170,-88.723
KWVI,Watsonville Municipal Airport,Watsonville,USA,36.936,-121.790
KDPA,Dupage Airport,West Chicago,USA,41.908,-88.249
KFOK,Francis S Gabreski Airport,West Hampton Beach,USA,40.844,-72.632
KPBI,Palm Beach International Airport,West Palm Beach,USA,26.683,-80.096
KWST,Westerly State Airport,Westerly,USA,41.350,-71.803
KBAF,Westfield-Barnes Regional Airport,Westfield/Springfield,USA,42.158,-72.716
KHPN,Westchester County Airport,White Plains,USA,41.067,-73.707
KAAO,Colonel James Jabara Airport,Wichita,USA,37.748,-97.221
KWWD,Cape May County Airport,Wildwood,USA,39.008,-74.908
KIPT,Williamsport Regional Airport,Williamsport,USA,41.242,-76.921
KXWA,Williston Basin International Airport,Williston,USA,48.258,-103.749
KILG,New Castle Airport,Wilmington,USA,39.679,-75.606
KBDL,Bradley International Airport,Windsor Locks,USA,41.939,-72.683
KYNG,Youngstown Warren Regional Airport,Youngstown,USA,41.261,-80.679
